State;Community Number;Community Name;CRS Entry Date;Current Effective Date;Current Class;% Discount for SFHA;% Discount for Non- SFHA;Status
CT;090070;Westbrook, Town of ;01.05.2005;01.05.2011;10;0;0;R
CT;090019;Westport, Town of ;01.10.1995;01.10.2000;8;10;5;C
DE;105083;Bethany Beach, Town of ;01.05.2009;01.05.2009;8;10;5;C
DE;100022;Delaware City, City of ;01.10.2012;01.10.2012;8;10;5;C
DE;100056;Dewey Beach, Town of ;01.10.1994;01.10.1999;8;10;5;C
DE;105084;Fenwick Island, Town of ;01.10.1994;01.10.2004;8;10;5;C
DE;100041;Lewes, City of ;01.10.1992;01.10.1992;9;5;5;C
DE;100026;New Castle, City of ;01.10.1994;01.10.1999;8;10;5;C
DE;105085;New Castle County ;01.05.2013;01.05.2019;6;20;10;C
DE;100025;Newark, City of ;01.10.1992;01.10.2001;7;15;5;C
DE;105086;Rehoboth Beach, City of ;01.10.1994;01.10.1995;8;10;5;C
DE;100048;Seaford, City of ;01.10.1996;01.10.1996;9;5;5;C
DE;100051;South Bethany, Town of ;01.10.2007;01.10.2007;8;10;5;C
FL;120001;Alachua County ;01.10.1995;01.10.2017;5;25;10;C
FL;120290;Altamonte Springs, City of ;01.10.1994;01.05.2014;7;15;5;C
FL;125087;Anna Maria, City of ;01.10.1991;01.10.2020;6;20;10;C
FL;120180;Apopka, City of ;01.10.1993;01.10.2018;8;10;5;C
FL;120075;Atlantic Beach, City of ;01.10.2005;01.05.2010;7;15;5;C
FL;120193;Atlantis, City of ;01.10.1992;01.05.2013;7;15;5;C
FL;120676;Aventura, City of ;01.10.2000;01.05.2005;7;15;5;C
FL;120419;Baker County ;01.10.2001;01.05.2017;10;0;0;R
FL;120636;Bal Harbour, Village of ;01.10.1996;01.05.2017;8;10;5;C
FL;120004;Bay County ;01.10.1993;01.10.2008;5;25;10;C
FL;120637;Bay Harbor Islands, Town of ;01.10.1994;01.10.1999;7;15;5;C
FL;125088;Belleair, Town of  ;01.10.2015;01.10.2015;8;10;5;C
FL;125089;Belleair Beach, City of ;01.10.1992;01.10.2017;6;20;10;C
FL;120239;Belleair Bluffs, City of  ;01.10.2015;01.10.2015;7;15;5;C
FL;120638;Biscayne Park, Village of;01.10.2020;01.10.2020;9;5;5;C
FL;120195;Boca Raton, City of ;01.10.1992;01.05.2020;7;15;5;C
FL;120680;Bonita Springs, City of ;01.05.2006;01.05.2017;5;25;10;C
FL;120196;Boynton Beach, City of ;01.10.1991;01.10.2017;6;20;10;C
FL;120155;Bradenton, City of ;01.10.1991;01.05.2011;6;20;10;C
FL;125091;Bradenton Beach, City of ;01.10.1991;01.05.2008;6;20;10;C
FL;125092;Brevard County  ;01.10.1991;01.10.2006;7;15;5;C
FL;125093;Broward County ;01.10.1992;01.10.2019;6;20;5;C
FL;120005;Callaway, City of ;01.10.1993;01.10.2020;8;10;5;C
FL;125094;Cape Canaveral, City of ;01.10.1993;01.10.2019;8;10;5;C
FL;125095;Cape Coral, City of ;01.10.1991;01.05.2010;5;25;10;C
FL;120291;Casselberry, City of;01.10.2019;01.10.2019;8;10;5;NA
FL;120090;Carrabelle, City of ;01.10.1993;01.05.2013;10;0;0;R
FL;120061;Charlotte County  ;01.10.1992;01.10.2019;6;20;10;C
FL;120063;Citrus County ;01.10.2001;01.10.2015;5;25;10;C
FL;120064;Clay County  ;01.10.1996;01.10.2005;7;15;5;C
FL;125096;Clearwater, City of ;01.10.1991;01.05.2016;6;20;10;C
FL;120108;Clewiston, City of ;01.05.2017;01.05.2017;9;5;5;C
FL;120198;Cloud Lake, Town of ;01.10.1994;01.10.2016;6;20;10;C
FL;120020;Cocoa, City of ;01.10.1994;01.10.2004;10;0;0;R
FL;125097;Cocoa Beach, City of ;01.10.1994;01.05.2018;8;10;5;C 
FL;120031;Coconut Creek, City of ;01.10.1992;01.10.2001;7;15;5;C
FL;120067;Collier County  ;01.10.1992;01.10.2015;5;25;10;C
FL;120070;Columbia County ;01.10.1996;01.10.2005;8;10;5;C
FL;120032;Cooper City, City of ;01.10.1992;01.10.2019;6;20;10;C
FL;120639;Coral Gables, City of ;01.10.1993;01.05.2020;5;25;10;C
FL;120033;Coral Springs, City of ;01.10.1992;01.10.1994;8;10;5;C
FL;120340;Crystal River, City of  ;01.10.2016;01.10.2016;7;15;5;C
FL;120218;Cutler Bay, Town of ;01.05.2011;01.10.2019;4;30;10;M
FL;120034;Dania Beach, City of ;01.10.1993;01.05.2020;6;20;10;C
FL;120035;Davie, Town of ;01.10.1994;01.10.2005;7;15;5;C
FL;125099;Daytona Beach, City of ;01.10.1994;01.10.2008;6;20;10;C
FL;125100;Daytona Beach Shores, City of ;01.10.1992;01.10.2018;5;25;10;C
FL;125101;Deerfield Beach, City of ;01.10.1992;01.10.2020;8;10;5;C
FL;125102;Delray Beach, City of ;01.10.1994;01.10.2020;6;20;10;M
FL;120677;Deltona, City of  ;01.05.2015;01.05.2015;9;5;5;C
FL;125158;Destin, City of ;01.10.1994;01.05.2010;6;20;10;C
FL;120041;Doral, City of ;01.05.2009;01.05.2020;6;20;10;M
FL;125103;Dunedin, City of ;01.10.1992;01.10.2016;5;25;10;C
FL;120308;Edgewater, City of ;01.10.1992;01.10.2012;7;15;5;C
FL;120080;Escambia County ;01.10.1991;01.05.2011;6;20;10;C
FL;120260;Estero, Village of ;01.10.2017;01.10.2017;6;20;10;C
FL;120146;Fanning Springs, City of ;01.10.1993;01.10.2019;10;0;0;C
FL;120120;Fellsmere, City of ;01.10.1999;01.05.2015;8;10;5;C
FL;120172;Fernandina Beach, City of ;01.10.1992;01.10.2019;7;15;5;C
FL;120087;Flagler Beach, City of ;01.10.1995;01.05.2012;6;20;10;C
FL;120085;Flagler County ;01.05.2015;01.10.2016;6;20;10;C
FL;125105;Fort Lauderdale, City of ;01.10.1992;01.10.2020;7;15;5;C
FL;125106;Fort Myers, City of ;01.10.1993;01.10.2020;9;5;5;C
FL;120673;Fort Myers Beach, Town of ;01.10.1999;01.10.2020;5;25;10;C
FL;120286;Fort Pierce, City of ;01.10.1992;01.05.2012;6;20;10;C
FL;120174;Fort Walton Beach, City of ;01.10.1992;01.10.2019;7;15;5;C
FL;120088;Franklin County  ;01.10.1993;01.10.2012;7;15;5;C
FL;125107;Gainesville, City of ;01.10.1992;01.10.2006;7;15;5;C
FL;120095;Glades County ;01.05.2018;01.05.2018;7;15;5;C 
FL;120200;Glen Ridge, Town of ;01.10.1994;01.10.2006;10;0;0;R
FL;120642;Golden Beach, Town of ;01.10.1993;01.10.2002;10;0;0;R
FL;120203;Greenacres, City of ;01.10.2017;01.10.2017;9;5;5;C
FL;120275;Gulf Breeze, City of ;01.10.1993;01.10.2013;7;15;5;C
FL;120098;Gulf County  ;01.10.1993;01.05.2007;8;10;5;C
FL;125109;Gulf Stream, Town of ;01.10.1999;01.10.2015;10;0;0;R
FL;125108;Gulfport, City of ;01.10.1993;01.05.2013;6;20;10;C
FL;125110;Hallandale Beach, City of ;01.10.1994;01.10.2008;6;20;10;C
FL;120103;Hardee County ;01.10.1996;01.05.2004;10;0;0;R
FL;120282;Hastings, Town of ;01.05.2017;01.10.2018;10;0;0;R
FL;120107;Hendry County ;01.10.2000;01.10.2000;8;10;5;C
FL;120110;Hernando County  ;01.10.1992;01.05.2015;5;25;10;C
FL;120643;Hialeah, City of ;01.10.1993;01.05.2008;7;15;5;C
FL;125111;Highland Beach, Town of ;01.10.1993;01.10.2015;10;0;0;R
FL;120111;Highlands County  ;01.10.1994;01.10.2004;8;10;5;C
FL;120040;Hillsboro Beach, Town of ;01.10.2017;01.10.2017;8;10;5;C
FL;120112;Hillsborough County ;01.10.1992;01.10.2007;5;25;10;C
FL;125112;Holly Hill, City of ;01.10.1994;01.10.2019;8;10;5;C
FL;125113;Hollywood, City of ;01.10.1992;01.05.2012;6;20;10;C
FL;125114;Holmes Beach, City of ;01.10.1991;01.05.2011;6;20;10;C
FL;120645;Homestead, City of ;01.05.2006;01.05.2017;9;5;5;C
FL;120207;Hypoluxo, Town of ;01.10.1994;01.10.1996;8;10;5;C
FL;120119;Indian River County  ;01.10.1992;01.10.2007;6;20;10;C
FL;120121;Indian River Shores, Town of ;01.10.1994;01.05.2014;6;20;10;C
FL;125117;Indian Rocks Beach, City of ;01.10.1992;01.05.2017;6;20;10;C
